City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
217,Saint Anthony,US,45.02,-93.22,30.99,74,1,6.93,clear sky
218,Lagoa,PT,39.05,-27.98,58.51,74,100,16.28,overcast clouds
219,Nanortalik,GL,60.14,-45.24,33.24,79,100,22.12,overcast clouds
220,Kununurra,AU,-15.77,128.73,75.2,100,88,3.36,overcast clouds
221,Manokwari,ID,-0.87,134.08,78.87,83,96,4.38,overcast clouds
222,Henties Bay,NA,-22.12,14.28,64.0,79,5,8.32,clear sky
223,Olafsvik,IS,64.89,-23.71,22.41,88,17,31.21,few clouds
224,Berlevag,NO,70.86,29.09,35.6,80,75,34.45,broken clouds
225,Carnarvon,AU,-24.87,113.63,69.8,94,75,23.04,broken clouds
226,Aripuana,BR,-9.17,-60.63,81.41,82,99,3.24,light rain
227,Kerrville,US,30.05,-99.14,43.0,61,0,3.0,clear sky
228,Hammerfest,NO,70.66,23.68,35.6,93,75,13.87,light rain
229,Chirala,IN,15.82,80.35,75.27,82,100,8.97,overcast clouds
230,Sao Miguel Do Araguaia,BR,-13.28,-50.16,95.45,31,54,4.85,broken clouds
231,Skibbereen,IE,51.55,-9.27,37.4,74,20,14.99,few clouds
232,Ayan,RU,56.45,138.17,11.93,85,20,14.79,few clouds
233,Alto Araguaia,BR,-17.31,-53.22,93.99,29,52,11.59,broken clouds
234,Zimovniki,RU,47.15,42.46,26.85,87,0,16.04,clear sky
235,Tuktoyaktuk,CA,69.45,-133.04,30.2,92,90,9.17,snow
236,Manturovo,RU,58.34,44.76,14.85,95,91,4.72,overcast clouds
237,Ullapool,GB,57.9,-5.16,30.0,54,49,1.01,scattered clouds
238,Hobyo,SO,5.35,48.53,80.02,79,12,15.26,few clouds
239,Freetown,SL,8.48,-13.23,84.2,70,75,9.17,haze
240,Srikakulam,IN,18.3,83.9,73.02,71,56,6.35,broken clouds
241,Nouadhibou,MR,20.93,-17.03,75.2,57,0,13.87,clear sky
242,Tabuk,PH,17.42,121.44,72.36,92,100,12.19,overcast clouds
243,Muros,ES,42.78,-9.06,55.0,86,100,24.0,overcast clouds
244,Valer,NO,60.68,11.83,33.01,97,90,10.29,mist
245,Yablonovo,RU,50.85,37.36,23.0,92,90,11.18,light snow
246,Liwale,TZ,-9.77,37.93,75.31,80,18,4.0,light rain
247,Itarema,BR,-2.92,-39.92,88.43,54,84,16.87,broken clouds
248,Broome,US,42.25,-75.83,37.99,68,1,10.29,clear sky
249,Chegdomyn,RU,51.12,133.02,-4.2,91,99,0.6,overcast clouds
250,Puerto Rico,AR,-26.8,-55.02,79.16,76,95,4.21,overcast clouds
251,Te Anau,NZ,-45.42,167.72,47.03,86,80,6.35,broken clouds
252,Sistranda,NO,63.73,8.83,42.8,60,75,25.28,broken clouds
253,Birao,CF,10.28,22.79,84.2,17,0,5.32,clear sky
254,Kudahuvadhoo,MV,2.67,72.89,83.84,75,74,18.88,broken clouds
255,Port-Gentil,GA,-0.72,8.78,82.4,83,75,12.75,broken clouds
256,Biak,ID,-0.91,122.88,78.26,81,38,2.66,light rain
257,Cidreira,BR,-30.18,-50.21,75.97,76,77,18.07,broken clouds
258,Necochea,AR,-38.55,-58.74,68.0,61,19,5.01,few clouds
259,Nishihara,JP,26.18,127.76,64.4,100,90,16.11,light intensity shower rain
260,San Quintin,MX,30.48,-115.95,62.08,28,10,5.86,clear sky
261,Burnie,AU,-41.07,145.92,48.99,93,88,1.99,overcast clouds
262,Bocas Del Toro,PA,9.33,-82.25,69.01,85,92,3.4,light rain
263,Hirado,JP,33.36,129.55,46.99,25,0,3.0,clear sky
264,Lahij,YE,13.17,44.58,75.27,71,99,8.97,overcast clouds
265,Constitucion,CL,-35.33,-72.42,65.43,37,2,19.64,clear sky
266,Mandera,KE,3.94,41.87,89.58,36,73,6.71,broken clouds
267,Nevelsk,RU,46.67,141.86,12.2,92,20,4.47,light snow
268,Mareeba,AU,-17.0,145.43,77.0,78,75,9.17,broken clouds
269,Ostrovnoy,RU,68.05,39.51,28.85,94,44,30.98,scattered clouds
270,Xuddur,SO,4.12,43.89,82.38,46,63,11.52,broken clouds
271,Anadyr,RU,64.75,177.48,-27.4,74,42,2.24,fog
272,Maua,BR,-23.67,-46.46,86.0,42,0,8.05,clear sky
273,Kukushtan,RU,57.65,56.5,19.4,92,90,6.71,light snow
274,Olga,RU,43.74,135.29,16.72,87,0,8.39,clear sky
275,Karratha,AU,-20.74,116.85,82.98,66,6,7.11,clear sky
276,Mbini,GQ,1.57,9.61,81.01,78,71,9.42,light rain
277,Salalah,OM,17.02,54.09,78.8,78,20,3.36,few clouds
278,Matagami,CA,49.75,-77.63,15.8,100,90,6.93,light snow
279,Tukrah,LY,32.53,20.58,66.25,55,0,11.3,clear sky
280,Fare,PF,-16.7,-151.02,80.24,77,34,15.88,light rain
281,Neiafu,TO,-18.65,-173.98,77.0,94,75,15.86,broken clouds
282,Kidal,ML,18.44,1.41,94.32,10,0,0.6,clear sky
283,Tautira,PF,-17.73,-149.15,77.0,73,20,5.82,few clouds
284,Jaguey Grande,CU,22.53,-81.13,73.4,69,40,12.75,moderate rain
285,Touros,BR,-5.2,-35.46,86.0,70,40,17.22,scattered clouds
286,Russas,BR,-4.94,-37.98,94.46,37,99,8.79,overcast clouds
287,Longyearbyen,SJ,78.22,15.64,19.4,62,75,24.16,broken clouds
288,San Cristobal,VE,7.77,-72.22,82.4,78,40,5.82,scattered clouds
289,Sinnamary,GF,5.38,-52.95,84.38,70,5,11.61,clear sky
290,Bekovo,RU,52.47,43.71,7.59,94,72,7.58,broken clouds
291,Pobe,BJ,6.98,2.66,92.79,38,8,4.32,clear sky
292,Camabatela,AO,-8.19,15.38,65.95,91,100,6.35,overcast clouds
293,Oranjemund,NA,-28.55,16.43,66.16,62,0,20.18,clear sky
294,Leh,IN,34.17,77.58,17.58,65,54,2.84,broken clouds
295,Amapa,BR,1.0,-52.0,91.8,45,29,6.15,scattered clouds
296,Inirida,CO,3.87,-67.92,82.33,75,99,4.03,overcast clouds
297,Orlik,RU,52.52,99.83,-8.81,76,1,2.55,clear sky
298,Hamilton,US,39.18,-84.53,36.0,79,1,4.99,clear sky
299,Surt,LY,31.21,16.59,68.81,42,0,8.55,clear sky
300,Alice Springs,AU,-23.7,133.88,82.99,18,2,10.29,clear sky
301,Raudeberg,NO,61.99,5.14,45.0,80,75,20.8,light intensity shower rain
302,Mahebourg,MU,-20.41,57.7,78.8,78,40,8.05,scattered clouds
303,Xichang,CN,27.9,102.26,50.0,62,99,5.73,light rain
304,Bandarbeyla,SO,9.49,50.81,77.29,79,29,13.51,scattered clouds
305,La Ronge,CA,55.1,-105.28,17.6,100,0,1.12,clear sky
306,Lebu,CL,-37.62,-73.65,56.59,61,36,21.88,scattered clouds
307,Longwy,FR,49.52,5.77,37.0,94,100,11.01,overcast clouds
308,Trairi,BR,-3.28,-39.27,88.66,55,95,14.85,overcast clouds
309,Hambantota,LK,6.12,81.12,80.6,83,0,5.82,clear sky
310,Bonavista,CA,48.65,-53.11,55.0,100,100,4.7,light rain
311,Balad,IQ,34.02,44.15,63.77,60,1,3.15,clear sky
312,Haveri,IN,14.8,75.4,71.56,70,100,8.05,overcast clouds
313,Idrinskoye,RU,54.37,92.14,-2.58,89,13,2.33,few clouds
314,Chimbote,PE,-9.09,-78.58,69.37,73,74,9.51,broken clouds
315,Clyde River,CA,70.47,-68.59,17.6,85,75,5.82,broken clouds
316,Swan Hill,AU,-35.34,143.55,63.97,39,0,9.95,clear sky
317,Fernie,CA,49.5,-115.07,23.0,92,0,2.24,clear sky
318,Adeje,ES,28.12,-16.73,73.4,64,40,13.87,scattered clouds
319,Vostok,RU,46.49,135.88,0.59,95,98,5.21,overcast clouds
320,Hovd,MN,48.01,91.64,3.83,90,11,0.85,few clouds
321,Makhachkala,RU,42.98,47.5,44.6,93,90,8.95,light rain
322,Kampot,KH,10.62,104.18,77.0,78,0,2.24,clear sky
323,Deputatskiy,RU,69.3,139.9,-20.11,86,0,1.34,clear sky
324,Narrabri,AU,-30.32,149.78,71.6,78,55,5.82,broken clouds
325,Porto Novo,BJ,6.5,2.6,85.75,66,15,11.21,few clouds
326,Grand-Santi,GF,4.25,-54.38,92.35,44,55,5.01,broken clouds
327,San Ramon,US,37.78,-121.98,48.0,74,1,3.36,clear sky
328,Vao,NC,-22.67,167.48,74.05,81,100,16.37,overcast clouds
329,Minot,US,48.23,-101.3,33.01,63,1,5.82,clear sky
330,Diffa,NE,13.32,12.61,84.97,13,28,9.46,scattered clouds
331,San Javier,ES,37.81,-0.84,60.8,51,0,11.41,clear sky
332,Nurlat,RU,54.43,50.81,1.96,89,84,0.2,broken clouds
333,The Pas,CA,53.83,-101.25,21.2,85,1,6.93,clear sky
334,Lampazos De Naranjo,MX,27.02,-100.52,48.56,46,0,12.91,clear sky
335,Havelock,US,34.88,-76.9,54.0,61,1,2.73,clear sky
336,Izhma,RU,65.01,53.91,28.09,96,100,8.1,overcast clouds
337,Abbeville,FR,50.1,1.83,43.0,82,100,19.24,light rain
338,Acajutla,SV,13.59,-89.83,80.6,61,0,2.24,clear sky
339,Faanui,PF,-16.48,-151.75,79.79,79,87,16.49,light rain
340,Karatau,KZ,43.17,70.47,27.34,96,73,1.97,broken clouds
341,Korla,CN,41.76,86.15,21.25,85,66,0.78,broken clouds
342,Najran,SA,17.49,44.13,78.8,34,20,6.93,few clouds
343,Balabac,PH,7.99,117.06,81.36,81,91,5.37,overcast clouds
344,Jacareacanga,BR,-6.22,-57.75,88.72,65,100,2.35,heavy intensity rain
345,La Palma,US,33.85,-118.05,63.0,12,1,10.29,haze
346,Kyzyl-Mazhalyk,RU,51.13,90.6,-9.9,85,21,0.2,few clouds
347,Kalmunai,LK,7.42,81.82,79.75,87,79,4.21,broken clouds
348,Rincon,US,32.3,-81.24,55.0,57,75,5.82,broken clouds
349,Obregon,NI,11.96,-85.96,80.6,74,40,4.7,scattered clouds
350,Mortka,RU,59.33,66.02,11.19,95,79,4.92,broken clouds
351,Mbanza-Ngungu,CD,-5.25,14.87,69.03,96,100,4.14,overcast clouds
352,Broken Hill,AU,-31.95,141.43,69.8,19,0,3.36,clear sky
353,Bereda,ES,43.27,-7.54,50.0,100,100,14.0,overcast clouds
354,Shelburne,CA,44.08,-80.2,35.6,80,90,12.75,overcast clouds
355,Salinas,US,36.68,-121.66,41.0,49,1,2.04,clear sky
356,Qasigiannguit,GL,68.82,-51.19,8.6,60,5,33.33,clear sky
357,Puerto Quijarro,BO,-17.78,-57.77,103.05,24,100,8.41,overcast clouds
358,Madang,PG,-5.22,145.8,75.58,86,100,3.62,overcast clouds
359,Ihosy,MG,-22.4,46.12,76.06,67,99,3.89,moderate rain
360,Havre-Saint-Pierre,CA,50.23,-63.6,35.6,95,90,8.05,light snow
361,Margate,GB,51.38,1.39,45.0,89,100,11.01,light rain
